ItemID,Matcode,MaterialDescription,MRP,CaseCount,EAN,SubCategory,Brand,Category,BrandImgURL,ProductImgURL,ProductDiscountPercentage,CategoryImageURL,SubCategoryImageURL,VAT,SupplierBusinessName,LeadTimeForDelivery,10 lacs price,>10 lacs price
82198901,82227852,AMBI CARPREMIUM SC&Z RF7.5MLX12 INR180,180,12,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,147.6,136.8
82198903,82227831,AMBI CARPREMIUM VBQ RF7.5MLX12 INR180,180,12,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,147.6,136.8
82163366,82227824,AMBI CARVENTCLIP 2MLX6X4 LAV.C INR175,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82163367,82227828,AMBI CARVENTCLIP 2MLX6X4 LT C. INR175,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82163365,82227826,AMBI CARVENTCLIP 2MLX6X4 NZ SPRG INR175,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82163364,82227823,AMBI CARVENTCLIP 2MLX6X4 SKY B. INR175,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82163370,82227825,AMBI CARVENTCLIP 2MLX6X4 THDG FRT INR175,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82163370,82232491,AMBIPUR CARVENTCLIP 2MLX6X4 IN DG FRT IN,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82163366,82232487,AMBIPUR CARVENTCLIP 2MLX6X4 LAV CMFT IN,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82163367,82232490,AMBIPUR CARVENTCLIP 2MLX6X4 LGHT CTRS IN,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
