Item ID,Matcode,Material Description,MRP,CaseCount,EAN,SubCategory,Brand,Category,10 lacs price,>10 lacs price,,,,,,,,,,,,,,,,
82208774,82230115,ARIEL LAU PWD 200GX120 MB D+ PC,39,120,4902430653411,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82208774,82219195,ARIEL LAU PWD 200GX120 MB DNL PC,39,120,4902430632393,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
0,82230191,ARIEL LAU PWD 12 GX504 DN BDI PC,2,504,4902430653404,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82209386,82229582,ARIEL LAU PWD 12 GX504 SANCY BDI JB PC,2,504,4902430651783,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
0,82244705,ARIEL LAU PWD 12 GX504 SANCY BDI JB PC ,2,504,4902430651783,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82115629,82140549,ARIEL LAU PWD 14GX504 SANCY W BDI SN PC,2,504,4902430214933,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
0,82092113,ARIEL LAU PWD 20GX504 FC RG(ERN RS 3) PC,2,504,4902430067157,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
75020461,82229985,DU CB AL 9V 2BCD 440 INR 2X10X12,440,120,5000394118980,Battery,Duracell,Electronics,360.8,308,,,,,,,,,,,,,,,,
75020461,82216420,DU CB AL 9V 2BCD SCA 420 INR 2X10X12,420,120,5000394109582,Battery,Duracell,Electronics,344.4,294,,,,,,,,,,,,,,,,
75055254,82229973,DU CB AL D 2BCD 370 INR 2X12X4,370,48,5000394118867,Battery,Duracell,Electronics,303.4,259,,,,,,,,,,,,,,,,
75055254,82216419,DU CB BSC AL D 2BCD SCA 350 INR 2X12X4,350,48,5000394109575,Battery,Duracell,Electronics,287,245,,,,,,,,,,,,,,,,
75055254,82207506,DU CB BSC AL D 2BCD SCA 330 INR 2X12X4,330,48,5000394095397,Battery,Duracell,Electronics,270.6,231,,,,,,,,,,,,,,,,
75019848,82230041,DU CB AL C 2BCD 250 INR 2X10X6,250,60,5000394119017,Battery,Duracell,Electronics,205,175,,,,,,,,,,,,,,,,
75020203,82229974,DU CB AL 9V BCD 250 INR 1X10X12,250,120,5000394118881,Battery,Duracell,Electronics,205,175,,,,,,,,,,,,,,,,
75066501,82226918,DU CB AL AA 8BCD 245 INR 8X10X6,245,60,5000394116924,Battery,Duracell,Electronics,200.9,171.5,,,,,,,,,,,,,,,,
75019848,82216418,DU CB BSC AL C 2BCD SCA 230 INR 2X10X6,230,60,5000394109568,Battery,Duracell,Electronics,188.6,161,,,,,,,,,,,,,,,,
75066501,82207496,DU CB AL AA 8BCD SCA 210 INR 8X10X6,210,60,5000394095281,Battery,Duracell,Electronics,172.2,147,,,,,,,,,,,,,,,,
75064684,82226686,DU CB AL AA 6BCD 210 INR 6X12X6,210,72,5000394116535,Battery,Duracell,Electronics,172.2,147,,,,,,,,,,,,,,,,
75064686,82226689,DU CB AL AAA 6BCD 210 INR 6X12X6,210,72,5000394116627,Battery,Duracell,Electronics,172.2,147,,,,,,,,,,,,,,,,
75066501,82201566,DU CB AL AA 8BCD SCA 200 INR 8X10X6,200,60,5000394081437,Battery,Duracell,Electronics,164,140,,,,,,,,,,,,,,,,
82147757,81558286,DU UL AL AA 4BCD RF 180 INR 4X20X6,180,120,5000394121355,Battery,Duracell,Electronics,147.6,126,,,,,,,,,,,,,,,,
