ItemID,Matcode,DisplayTitle,ShortSummary,ProductSizeWeightQty,VariantOfPrevious,MaterialDescription,MRP,CaseCount,EAN,SubCategory,Brand,Category,BrandImgURL,ProductImgURL,ProductDiscountPercentage,CategoryImageURL,SubCategoryImageURL,VAT,SupplierBusinessName,LeadTimeForDelivery,productIsVisible,10 lacs price,>10 lacs price
75019829,82170452,"GILLETTE, SENSOR EXCEL, CART 1's",SENSR EXCEL CRT1 89INR 1CSX600IT*1X60X10,1,,SENSR EXCEL CRT1 89INR 1CSX600IT*1X60X10,89,600,4902430444194,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Sensor_Excel_Cart_1's.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,75.65,69.42
75019797,82133040,"GILLETTE, DOUBLE EDGE, SP RAZOR",7OCLK SPLT DSP5 70 INR (1CSX144IT),1,,7OCLK SPLT DSP5 70 INR (1CSX144IT),70,144,8901358000525,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Double_Edge_SP_Razor.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,59.5,54.6
75070329,82234521,"GILLETTE, VECTOR, RAZOR",VEC ELHDL PSHBT 50INR GREY 1X12X12,1,,VEC ELHDL PSHBT 50INR GREY 1X12X12,50,144,4902430666268,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Vector_Razor.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,42.5,39
82213414,82213283,"GILLETTE, FEMALE HAIR REMOVAL, SATIN CARE DISPOSABLE",SIMPLY VENUS 2 1CT HRDC 49INR 1X12X48,1,,SIMPLY VENUS 2 1CT HRDC 49INR 1X12X48,49,576,96123492,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Female_Hair_Removal_Satin_Care_Dis.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,41.65,38.22
82144739,82153804,"GILLETTE, DISPOSABLES, PRESTOBARBA 3",PRST3 ELH DIS 1 39INR 1CSX120*1X10X12,1,,PRST3 ELH DIS 1 39INR 1CSX120*1X10X12,39,120,7702018880409,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Disposables_Prestobarba_3.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,33.15,30.42
GilleteSSRazor-1,75073718,"GILLETTE, 7 OCLK DOUBLE EDGE, SS RAZOR",7OCLK STNLS 2 UP DSP2 35 INR,1,,7OCLK STNLS 2 UP DSP2 35 INR,35,144,7702018033638,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Double_Edge_SS_Razor.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,29.75,27.3
75020942,82165585,"GILLETTE, DISPOSABLES, READY II",7OCLK DIS 1 15 INR 1CSX576IT*1X24X24,1,,7OCLK DIS 1 15 INR 1CSX576IT*1X24X24,15,576,8901358700326,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Disposables_Ready_II.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,12.75,11.7
82141283,82219148,"GILLETTE, DOUBLE EDGE, BLADES 5s",WIL STNLS 5 14INR 5X20X60 GSMC,5,,WIL STNLS 5 14INR 5X20X60 GSMC,14,1200,4902430621021,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Double_Edge_Blades_5s.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,11.9,10.92
82209601,82215885,"GILLETTE, SERIES SPLASH, ARCTIC ICE 100ml",TGS SPLASH 100ML ART 469INR 1X6,100 ml,,TGS SPLASH 100ML ART 469INR 1X6,469,24,4902430615556,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Series_Splash_Arctic_Ice_100ml.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,N,398.65,365.82
82209611,82215878,"GILLETTE, FUSION HYDRA GEL, GEL 200ml",FUS HYDRA GEL SHVP 195G 355INR PUSEN 1X6,200 ml,,FUS HYDRA GEL SHVP 195G 355INR PUSEN 1X6,355,48,4902430626071,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Fusion_Hydra_Gel_Gel_200ml.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,301.75,276.9
